delta_mu_h_ev,gamma_C100_j_m2,gamma_C110_j_m2,gamma_C111_j_m2,most_stable,ordering,all_positive,wulff_defined
1.3,3.3131330766326568,3.7880675956008503,2.791674200544478,C111,C111 < C100 < C110,True,True
1.3250000000000002,3.3758832737238147,3.876809775443946,2.8641318868255166,C111,C111 < C100 < C110,True,True
1.35,3.4386334708149726,3.965551955287041,2.9365895731065543,C111,C111 < C100 < C110,True,True
1.375,3.50138366790613,4.054294135130137,3.0090472593875917,C111,C111 < C100 < C110,True,True
1.4000000000000001,3.5641338649972885,4.143036314973233,3.08150494566863,C111,C111 < C100 < C110,True,True
1.425,3.626884062088446,4.231778494816328,3.153962631949668,C111,C111 < C100 < C110,True,True
1.4500000000000002,3.689634259179604,4.320520674659424,3.2264203182307063,C111,C111 < C100 < C110,True,True
1.475,3.752384456270762,4.4092628545025185,3.2988780045117445,C111,C111 < C100 < C110,True,True
1.5,3.8151346533619193,4.4980050343456135,3.371335690792782,C111,C111 < C100 < C110,True,True
1.5250000000000001,3.8778848504530776,4.586747214188709,3.44379337707382,C111,C111 < C100 < C110,True,True
1.55,3.940635047544235,4.675489394031804,3.5162510633548583,C111,C111 < C100 < C110,True,True
1.5750000000000002,4.003385244635393,4.7642315738749,3.5887087496358965,C111,C111 < C100 < C110,True,True
1.6,4.0661354417265505,4.852973753717995,3.661166435916934,C111,C111 < C100 < C110,True,True
1.625,4.1288856388177075,4.94171593356109,3.733624122197972,C111,C111 < C100 < C110,True,True
1.6500000000000001,4.191635835908866,5.030458113404187,3.8060818084790102,C111,C111 < C100 < C110,True,True
1.675,4.254386033000023,5.119200293247282,3.8785394947600476,C111,C111 < C100 < C110,True,True
1.7000000000000002,4.317136230091182,5.207942473090378,3.9509971810410867,C111,C111 < C100 < C110,True,True
1.725,4.379886427182339,5.296684652933473,4.023454867322124,C111,C111 < C100 < C110,True,True
1.75,4.442636624273497,5.3854268327765675,4.095912553603162,C111,C111 < C100 < C110,True,True
1.7750000000000001,4.505386821364655,5.474169012619663,4.168370239884201,C111,C111 < C100 < C110,True,True
1.8,4.568137018455813,5.562911192462758,4.240827926165238,C111,C111 < C100 < C110,True,True
1.8250000000000002,4.630887215546971,5.651653372305854,4.313285612446276,C111,C111 < C100 < C110,True,True
1.85,4.693637412638129,5.740395552148949,4.385743298727315,C111,C111 < C100 < C110,True,True
1.875,4.756387609729287,5.829137731992045,4.458200985008352,C111,C111 < C100 < C110,True,True
1.9000000000000001,4.819137806820445,5.917879911835141,4.53065867128939,C111,C111 < C100 < C110,True,True
1.925,4.881888003911602,6.006622091678236,4.603116357570428,C111,C111 < C100 < C110,True,True
1.9500000000000002,4.9446382010027605,6.095364271521332,4.675574043851467,C111,C111 < C100 < C110,True,True
1.975,5.007388398093918,6.184106451364427,4.748031730132505,C111,C111 < C100 < C110,True,True
2.0,5.0701385951850755,6.272848631207522,4.820489416413542,C111,C111 < C100 < C110,True,True
2.025,5.132888792276233,6.3615908110506165,4.892947102694579,C111,C111 < C100 < C110,True,True
2.0500000000000003,5.195638989367392,6.450332990893713,4.9654047889756185,C111,C111 < C100 < C110,True,True
2.075,5.258389186458549,6.539075170736808,5.037862475256657,C111,C111 < C100 < C110,True,True
2.1,5.321139383549707,6.627817350579903,5.110320161537694,C111,C111 < C100 < C110,True,True
2.125,5.383889580640864,6.716559530422998,5.182777847818732,C111,C111 < C100 < C110,True,True
2.15,5.446639777732022,6.805301710266094,5.25523553409977,C111,C111 < C100 < C110,True,True
2.1750000000000003,5.509389974823181,6.894043890109191,5.327693220380809,C111,C111 < C100 < C110,True,True
2.2,5.572140171914339,6.982786069952286,5.400150906661847,C111,C111 < C100 < C110,True,True
2.225,5.634890369005496,7.071528249795381,5.472608592942884,C111,C111 < C100 < C110,True,True
2.25,5.697640566096654,7.160270429638476,5.5450662792239225,C111,C111 < C100 < C110,True,True
2.275,5.760390763187812,7.2490126094815714,5.61752396550496,C111,C111 < C100 < C110,True,True
2.3000000000000003,5.8231409602789705,7.337754789324668,5.689981651785999,C111,C111 < C100 < C110,True,True
2.325,5.885891157370128,7.426496969167763,5.762439338067036,C111,C111 < C100 < C110,True,True
2.35,5.9486413544612855,7.515239149010858,5.8348970243480744,C111,C111 < C100 < C110,True,True
2.375,6.011391551552443,7.603981328853953,5.907354710629112,C111,C111 < C100 < C110,True,True
2.4000000000000004,6.074141748643601,7.69272350869705,5.979812396910151,C111,C111 < C100 < C110,True,True
2.4250000000000003,6.136891945734759,7.781465688540145,6.052270083191189,C111,C111 < C100 < C110,True,True
2.45,6.199642142825917,7.87020786838324,6.124727769472226,C111,C111 < C100 < C110,True,True
2.475,6.262392339917074,7.958950048226335,6.197185455753265,C111,C111 < C100 < C110,True,True
